Partlist

Exported from GEVCU-6-2c.brd at 7/18/16 8:27 PM

EAGLE Version 6.6.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                    Package                                            Library                     Position (mil)        Orientation

R47      1k                       R0805                                              rcl                         (1208 571)            R0
R48      10k                      R0805                                              rcl                         (1393 357)            R0
R49      10k                      R0805                                              rcl                         (1520 240)            R0
R50      1k                       R0805                                              rcl                         (735 659)             MR180
R51      1k                       R0805                                              rcl                         (1207 382)            R0
R52      1k                       R0805                                              rcl                         (731 522)             MR180
R53      1k                       R0805                                              rcl                         (1206 271)            R0
R54      4.7k                     R0805                                              rcl                         (4281 2901.05007)     MR270
R55      4.7k                     R0805                                              rcl                         (4183 2901)           MR270
R56      3k3                      R0805                                              rcl                         (756 3569)            R0
R57      1k                       R0805                                              rcl                         (470 324.5)           R0
R58      402R                     R0805                                              rcl                         (3804 2361)           R180
R65      1k                       R0805                                              rcl                         (3504 3781)           R180
R66      10k                      R0805                                              rcl                         (2896.5 3008.5)       R270
R67      10k                      R0805                                              rcl                         (2774.5 3206.5)       R270
R68      10k                      R0805                                              rcl                         (2526 2642)           MR90
R69      10k                      R0805                                              rcl                         (2631 2641)           MR90
R70      10k                      R0805                                              rcl                         (2610 2975)           MR90
R71      10k                      R0805                                              rcl                         (2631.5 2473.5)       MR180
R72      10k                      R0805                                              rcl                         (2938 2817)           R90
R73      10k                      R0805                                              rcl                         (3134 2867)           R90
R74      10                       R0805                                              rcl                         (1550 2273)           R90
R75      10                       R0805                                              rcl                         (1542 2565)           R90
R76      10                       R0805                                              rcl                         (1550 3171)           R90
R77      10                       R0805                                              rcl                         (1549 2852)           R90
RESET    PUCHBUTTON               PUCHBUTTON                                         PushButton                  (4001.25 2780.5)      R270
SJ5      SOLDERJUMPERNO           SJ_2S-NO                                           SparkFun-Passives           (4213 2759)           R270
T2                                SOT223                                             zetex                       (1263 2898)           R90
T4                                SOT223                                             zetex                       (1264 2605)           R90
T5                                SOT223                                             zetex                       (1270 3100)           MR270
T6                                SOT223                                             zetex                       (1270 2800)           MR270
T7                                SOT223                                             zetex                       (1270 2501)           MR270
T8                                SOT223                                             zetex                       (1270 2202)           MR270
T10                               SOT223                                             zetex                       (1261 3226)           R90
T12                               SOT223                                             zetex                       (1262 2294)           R90
TVS      SMBJ15A-TR               SMBJ                                               diode                       (1152 3873)           R270
U$1      CINCON5V                 CINCON5V                                           collin                      (1857 1241)           R270
U$2      581_01_48_005_S          581_01_48_005_S                                    CINCH                       (4500 0)              R90
U$3      ASE                      ASE                                                crystal                     (2597 2022)           R90
U$4      BLE_SPI                  BLE_SPI                                            collin                      (3239 1286)           R0
U1       ATSAM3X8EA-AU            LQFP144                                            SmartPrj                    (3202 2768)           MR180
U3       ADUM3221BRZ              SOIC127P600X175-8N                                 adum3221                    (2203 2964)           MR0
U4       ADUM3221BRZ              SOIC127P600X175-8N                                 adum3221                    (2201.5 3253.5)       MR0
U5       ADUM3221BRZ              SOIC127P600X175-8N                                 adum3221                    (2204 3094)           R180
U6       ADUM3221BRZ              SOIC127P600X175-8N                                 adum3221                    (2202.5 3317.5)       R180
U7       CK_CUSTOM_M24M02-DRMN6TP CK_CUSTOM_SOIC8                                    EPROM                       (4299 2590)           MR0
U8       TRACO                    TRACO                                              Traco                       (2200 3839)           R0
U9       TSR-1                    TSR-1                                              Traco                       (247 2613)            R0
U10                               SOT223-W                                           microbuilder                (3261 4006)           MR270
U11      ADE7913                  SOIC20                                             collin                      (2043 2449)           R270
U12      ADE7913                  SOIC20                                             collin                      (2050 1829)           R270
U24      ADE7913                  SOIC20                                             collin                      (2038 1639)           MR90
USB2                              CHIPLED_0805                                       microbuilder                (3687 3782)           R270
X1       PN61729-S                PN61729-S                                          con-berg                    (4095 3847)           R90
Y1       12MHz KX-7 20pF          CRYSTAL-3.2-2.5                                    SmartPrj                    (3502 3417)           MR0
Y2       32.768Khz                ARDUINO_WIFI_SHIELD_V018_TG_RESONATOR_EPSON_FC_145 Arduino_Wifi_shield_v018_tG (3854 2879)           MR90
ZEN      1SMB5929BT3G             SMB                                                diode                       (952 3873)            R270
